,index,symbol,datetime,rank,sum_norm_area
0,16,PENDLE,2024-04-26-00:00:00,1.0,68.24877807395418
1,29,TON,2024-04-26-00:00:00,2.0,54.60413580411384
2,31,ONDO,2024-04-26-00:00:00,3.0,29.843810931435193
3,18,BCH,2024-04-26-00:00:00,4.0,29.19830516490555
4,35,JUP,2024-04-26-00:00:00,5.0,21.772365318653517
5,33,JTO,2024-04-26-00:00:00,6.0,18.759553623950843
6,47,NEO,2024-04-26-00:00:00,7.0,16.824633553572678
7,26,MKR,2024-04-26-00:00:00,8.0,16.08993800299162
8,11,DOGE,2024-04-26-00:00:00,9.0,13.510846981705477
9,4,BNB,2024-04-26-00:00:00,10.0,12.50029940916144
10,23,FET,2024-04-26-00:00:00,11.0,6.776592038663556
11,3,NEAR,2024-04-26-00:00:00,12.0,6.302416468882265
12,25,LTC,2024-04-26-00:00:00,13.0,3.742045996678999
13,0,BTC,2024-04-26-00:00:00,14.0,2.5090159914035826
14,2,SOL,2024-04-26-00:00:00,15.0,0.4954637763081925
15,19,AR,2024-04-26-00:00:00,16.0,-2.9367077295693544
16,8,FTM,2024-04-26-00:00:00,17.0,-3.9739774703721094
17,20,STX,2024-04-26-00:00:00,18.0,-4.875087972623989
18,50,GALA,2024-04-26-00:00:00,19.0,-5.178380117960327
19,1,ETH,2024-04-26-00:00:00,20.0,-5.985980158058824
20,38,XRP,2024-04-26-00:00:00,21.0,-9.379457635539444
21,17,RNDR,2024-04-26-00:00:00,22.0,-10.90814579187106
22,13,SUI,2024-04-26-00:00:00,23.0,-12.03619472275712
23,28,HBAR,2024-04-26-00:00:00,24.0,-12.895593912725213
24,44,PYTH,2024-04-26-00:00:00,25.0,-13.738684042581236
25,34,LINK,2024-04-26-00:00:00,26.0,-15.611727829161865
26,7,AVAX,2024-04-26-00:00:00,27.0,-16.581368733786114
27,39,COMP,2024-04-26-00:00:00,28.0,-17.15755471353169
28,43,DOT,2024-04-26-00:00:00,29.0,-17.365571061966126
29,22,APT,2024-04-26-00:00:00,30.0,-17.813938080276156
30,37,ATOM,2024-04-26-00:00:00,31.0,-18.135900793324844
31,24,ORDI,2024-04-26-00:00:00,32.0,-18.651218759512545
32,27,RUNE,2024-04-26-00:00:00,33.0,-18.952740161213146
33,41,ADA,2024-04-26-00:00:00,34.0,-19.032292337292283
34,30,CFX,2024-04-26-00:00:00,35.0,-19.968825519118276
35,42,FIL,2024-04-26-00:00:00,36.0,-20.036280191700524
36,9,TIA,2024-04-26-00:00:00,37.0,-21.80887066776316
37,21,INJ,2024-04-26-00:00:00,38.0,-22.041852908732047
38,32,LDO,2024-04-26-00:00:00,39.0,-22.16338962600927
39,14,MATIC,2024-04-26-00:00:00,40.0,-22.643233776132103
40,12,SEI,2024-04-26-00:00:00,41.0,-22.96116935718953
41,51,ENS,2024-04-26-00:00:00,42.0,-23.448312192643876
42,49,UNI,2024-04-26-00:00:00,43.0,-23.45293480585801
43,36,STRK,2024-04-26-00:00:00,44.0,-24.849458626702106
44,46,APE,2024-04-26-00:00:00,45.0,-26.122088532769403
45,10,ARB,2024-04-26-00:00:00,46.0,-26.132880001211106
46,15,OP,2024-04-26-00:00:00,47.0,-26.827638741596957
47,5,WLD,2024-04-26-00:00:00,48.0,-28.608166427799873
48,48,XAI,2024-04-26-00:00:00,49.0,-29.249138937349006
49,45,GMX,2024-04-26-00:00:00,50.0,-30.879582371807
50,40,MAVIA,2024-04-26-00:00:00,51.0,-32.96051027397174
51,6,W,2024-04-26-00:00:00,52.0,-47.45392539666904
